Tau,Plain Collisions,Slotted Collisions
1e-06,2.45,1.5
2e-06,3.75,3.4
3e-06,6.3,3.5
4e-06,8.7,5.85
4.9999999999999996e-06,9.1,6.95
5.999999999999999e-06,11.1,6.35
6.999999999999999e-06,13.85,8.95
8e-06,14.2,11.35
9e-06,19.85,12.3
1e-05,21.5,12.35
1.1000000000000001e-05,20.3,14.4
1.2000000000000002e-05,23.55,19.2
1.3000000000000003e-05,23.6,18.8
1.4000000000000003e-05,28.45,14.8
1.5000000000000004e-05,29.95,20.0
1.6000000000000003e-05,33.45,23.1
1.7000000000000003e-05,31.2,24.35
1.8000000000000004e-05,36.5,23.75
1.9000000000000004e-05,36.7,25.55
2.0000000000000005e-05,40.2,28.8
2.1000000000000006e-05,39.75,29.6
2.2000000000000006e-05,41.3,29.45
2.3000000000000007e-05,47.3,31.85
2.4000000000000007e-05,47.05,35.1
2.5000000000000008e-05,48.35,36.7
2.600000000000001e-05,48.45,35.15
2.700000000000001e-05,50.95,37.9
2.800000000000001e-05,54.25,38.15
2.900000000000001e-05,54.95,37.85
3.000000000000001e-05,57.65,38.45
3.100000000000001e-05,61.85,45.0
3.2000000000000005e-05,62.55,42.8
3.3e-05,62.15,39.25
3.4e-05,70.05,45.05
3.5e-05,69.15,50.1
3.5999999999999994e-05,68.85,47.8
3.699999999999999e-05,74.55,46.8
3.799999999999999e-05,70.0,47.15
3.8999999999999986e-05,77.65,56.6
3.999999999999998e-05,78.9,55.1
4.099999999999998e-05,79.65,52.5
4.199999999999998e-05,80.55,52.85
4.2999999999999975e-05,84.1,63.0
4.399999999999997e-05,84.55,58.5
4.499999999999997e-05,85.9,57.7
4.5999999999999966e-05,88.15,60.25
4.699999999999996e-05,90.75,66.15
4.799999999999996e-05,90.65,63.1
4.899999999999996e-05,91.15,61.45
4.9999999999999955e-05,97.2,67.75
5.099999999999995e-05,100.9,70.95
5.199999999999995e-05,96.7,69.85
5.2999999999999947e-05,102.35,66.9
5.3999999999999944e-05,102.85,74.7
5.499999999999994e-05,102.8,78.05
5.599999999999994e-05,104.45,68.35
5.6999999999999935e-05,112.15,68.3
