Tau,Plain Collisions,Slotted Collisions
1e-06,2.0,1.0
2e-06,5.0,1.0
3e-06,5.5,4.5
4e-06,9.0,6.0
4.9999999999999996e-06,10.0,4.5
5.999999999999999e-06,13.0,5.0
6.999999999999999e-06,12.5,8.5
8e-06,14.0,16.0
9e-06,18.0,9.5
1e-05,21.5,11.0
1.1000000000000001e-05,20.5,16.0
1.2000000000000002e-05,28.0,16.5
1.3000000000000003e-05,28.5,17.5
1.4000000000000003e-05,22.0,17.5
1.5000000000000004e-05,26.5,23.0
1.6000000000000003e-05,42.0,23.5
1.7000000000000003e-05,31.5,26.0
1.8000000000000004e-05,31.0,24.0
1.9000000000000004e-05,39.5,29.0
2.0000000000000005e-05,45.0,31.5
2.1000000000000006e-05,35.0,31.5
2.2000000000000006e-05,36.5,32.5
2.3000000000000007e-05,43.5,27.0
2.4000000000000007e-05,41.5,30.0
2.5000000000000008e-05,49.5,33.5
2.600000000000001e-05,43.5,31.5
2.700000000000001e-05,58.0,41.0
2.800000000000001e-05,54.0,41.0
2.900000000000001e-05,54.0,30.5
3.000000000000001e-05,63.5,36.0
3.100000000000001e-05,63.0,43.0
3.2000000000000005e-05,61.5,42.5
3.3e-05,66.0,39.0
3.4e-05,68.0,37.0
3.5e-05,75.0,39.0
3.5999999999999994e-05,70.5,50.0
3.699999999999999e-05,64.5,48.0
3.799999999999999e-05,60.5,46.5
3.8999999999999986e-05,69.5,62.5
3.999999999999998e-05,84.0,50.5
4.099999999999998e-05,78.5,57.0
4.199999999999998e-05,91.0,52.0
4.2999999999999975e-05,79.5,58.5
4.399999999999997e-05,88.0,57.5
4.499999999999997e-05,94.5,59.0
4.5999999999999966e-05,88.5,64.5
4.699999999999996e-05,95.0,67.0
4.799999999999996e-05,94.5,58.5
4.899999999999996e-05,88.5,60.5
4.9999999999999955e-05,93.5,68.5
5.099999999999995e-05,101.5,73.5
5.199999999999995e-05,92.0,69.0
5.2999999999999947e-05,103.5,61.5
5.3999999999999944e-05,105.0,78.5
5.499999999999994e-05,108.0,77.0
5.599999999999994e-05,102.0,62.5
5.6999999999999935e-05,95.5,71.0
5.799999999999993e-05,106.0,77.0
5.899999999999993e-05,114.0,83.5
5.999999999999993e-05,103.5,81.0
6.0999999999999924e-05,110.5,84.0
6.199999999999992e-05,122.5,92.0
6.299999999999992e-05,123.0,80.0
6.399999999999992e-05,103.0,81.5
6.499999999999991e-05,121.0,76.5
6.599999999999991e-05,118.5,90.0
6.699999999999991e-05,129.5,91.5
6.79999999999999e-05,119.5,71.0
6.89999999999999e-05,129.5,91.5
6.99999999999999e-05,132.0,89.0
7.09999999999999e-05,132.0,80.0
7.19999999999999e-05,136.5,85.5
7.299999999999989e-05,133.5,90.5
7.399999999999989e-05,138.5,104.0
7.499999999999989e-05,143.0,104.5
7.599999999999988e-05,141.0,83.0
7.699999999999988e-05,125.5,90.0
7.799999999999988e-05,148.5,111.5
7.899999999999987e-05,154.5,110.5
7.999999999999987e-05,147.0,105.0
8.099999999999987e-05,161.0,103.5
8.199999999999987e-05,156.5,112.0
8.299999999999986e-05,154.0,124.0
8.399999999999986e-05,144.0,107.5
8.499999999999986e-05,151.0,109.5
8.599999999999985e-05,158.5,106.5
8.699999999999985e-05,158.0,102.0
8.799999999999985e-05,163.5,99.0
8.899999999999985e-05,159.0,114.0
8.999999999999984e-05,156.5,115.5
9.099999999999984e-05,172.0,109.0
9.199999999999984e-05,155.0,121.5
9.299999999999983e-05,161.0,128.5
9.399999999999983e-05,182.5,122.5
9.499999999999983e-05,176.5,113.0
9.599999999999983e-05,181.0,106.5
9.699999999999982e-05,173.0,127.0
9.799999999999982e-05,185.0,124.5
9.899999999999982e-05,186.0,111.0
9.999999999999982e-05,175.5,126.0
0.00010099999999999981,173.0,135.5
0.00010199999999999981,185.5,134.0
0.0001029999999999998,186.5,119.5
0.0001039999999999998,185.5,139.5
0.0001049999999999998,181.5,127.0
0.0001059999999999998,173.5,135.5
0.0001069999999999998,188.5,137.5
0.00010799999999999979,198.0,149.0
0.00010899999999999979,196.0,144.5
0.00010999999999999979,196.0,152.5
0.00011099999999999978,197.5,122.0
0.00011199999999999978,183.0,156.0
0.00011299999999999978,202.0,141.5
0.00011399999999999978,210.0,135.5
0.00011499999999999977,199.5,139.0
0.00011599999999999977,222.0,175.0
0.00011699999999999977,208.0,145.0
0.00011799999999999976,215.5,126.5
0.00011899999999999976,203.5,143.0
0.00011999999999999976,204.0,146.5
0.00012099999999999976,224.0,159.5
0.00012199999999999975,221.0,153.0
0.00012299999999999976,212.0,150.0
0.00012399999999999976,211.5,156.0
0.00012499999999999976,214.5,151.5
0.00012599999999999976,228.5,137.5
0.00012699999999999975,226.5,148.0
0.00012799999999999975,219.5,186.0
0.00012899999999999975,232.5,159.0
0.00012999999999999974,237.0,161.5
0.00013099999999999974,237.0,171.5
0.00013199999999999974,246.0,181.5
0.00013299999999999974,236.5,166.5
0.00013399999999999973,233.0,155.0
0.00013499999999999973,256.5,177.0
0.00013599999999999973,243.0,177.0
0.00013699999999999973,239.5,182.0
0.00013799999999999972,244.0,177.5
0.00013899999999999972,240.5,183.5
0.00013999999999999972,243.0,177.5
0.00014099999999999971,241.5,160.5
0.0001419999999999997,242.5,162.0
0.0001429999999999997,250.0,208.5
0.0001439999999999997,246.0,165.0
0.0001449999999999997,250.0,160.5
0.0001459999999999997,248.0,172.5
0.0001469999999999997,264.5,188.0
