Tau,Plain Collisions,Slotted Collisions,Plain Throughput,Slotted Throughput
0.001251,917.57,836.16,0.10311993,0.20496384
0.001261,918.7,754.49,0.1025193,0.30958811
0.001271,919.75,829.26,0.10199775,0.21701054
0.001281,922.45,758.68,0.09934155,0.30913092
0.001291,923.71,819.24,0.09849039,0.23336116
0.001301,925.95,823.51,0.09633905,0.22961349
0.001311,926,757.85,0.097014,0.31745865
0.001321,927.87,841.33,0.09528373,0.20960307
0.001331,929.2,795.66,0.0942348,0.27197654
0.001341,931.06,821.06,0.09244854,0.23995854
0.001351,932.77,809.65,0.09082773,0.25716285
0.001361,933.81,859.36,0.09008459,0.19141104
0.001371,934.88,856.68,0.08927952,0.19649172
0.001381,936.26,788.01,0.08802494,0.29275819
0.001391,937.46,819.95,0.08699314,0.25044955
0.001401,938.29,812.05,0.08645571,0.26331795
0.001411,939.57,852.12,0.08526673,0.20865868
0.001421,940.05,869.78,0.08518895,0.18504262
0.001431,941.83,799.73,0.08324127,0.28658637
0.001441,943.21,867.2,0.08183439,0.1913648
0.001451,944.88,803.77,0.07997912,0.28472973
0.001461,946.45,842.34,0.07823655,0.23034126
0.001471,946.73,878.53,0.07836017,0.17868237
0.001481,947.93,794.93,0.07711567,0.30370867
0.001491,948.01,867.59,0.07751709,0.19742331
0.001501,948.46,837.57,0.07736154,0.24380743
0.001511,950.36,855.81,0.07500604,0.21787109
0.001521,951.41,857.41,0.07390539,0.21687939
0.001531,952.46,795.53,0.07278374,0.31304357
0.001541,953.64,891.01,0.07144076,0.16795359
0.001551,954.96,825.85,0.06985704,0.27010665
0.001561,955.04,856.01,0.07018256,0.22476839
0.001571,956.49,855.04,0.06835421,0.22773216
0.001581,956.76,891.21,0.06836244,0.17199699
0.001591,958.36,897.23,0.06624924,0.16350707
0.001601,958.93,819,0.06575307,0.289781
0.001611,959.28,900.48,0.06559992,0.16032672
0.001621,959.75,837.33,0.06524525,0.26368807
0.001631,959.97,880.53,0.06528893,0.19485557
0.001641,962.03,904.25,0.06230877,0.15712575
0.001651,962.97,830.47,0.06113653,0.27989403
0.001661,963.31,898.47,0.06094209,0.16864133
0.001671,963.24,830.44,0.06142596,0.28333476
0.001681,964.59,887.62,0.05952421,0.18891078
0.001691,965.57,896.21,0.05822113,0.17550889
0.001701,965.05,827.65,0.05944995,0.29316735
0.001711,965.92,896.15,0.05831088,0.17768735
0.001721,967.46,866.39,0.05600134,0.22994281
0.001731,967.34,883.8,0.05653446,0.2011422
0.001741,968.58,876.19,0.05470222,0.21555321
0.001751,968.47,915.77,0.05520903,0.14748673
0.001761,969.04,916.23,0.05452056,0.14751897
0.001771,969.66,853,0.05373214,0.260337
0.001781,971.21,879.62,0.05127499,0.21439678
0.001791,971.8,876.99,0.0505062,0.22031091
0.001801,971.48,907.41,0.05136452,0.16675459
0.001811,972.13,923.24,0.05047257,0.13901236
0.001821,972.71,857.76,0.04969509,0.25901904
0.001831,973.55,924.42,0.04842995,0.13838698
0.001841,974.41,862.18,0.04711119,0.25372662
0.001851,974.53,899.33,0.04714497,0.18634017
0.001861,975.09,928.87,0.04635751,0.13237293
0.001871,974.95,851.45,0.04686855,0.27793705
0.001881,975.86,919.66,0.04540734,0.15111954
0.001891,976.37,890.21,0.04468433,0.20761289
0.001901,976.92,907.21,0.04387508,0.17639379
0.001911,976.77,910.91,0.04439253,0.17025099
0.001921,977.72,848.77,0.04279988,0.29051283
0.001931,977.92,934.05,0.04263648,0.12734945
0.001941,978.79,878.96,0.04116861,0.23493864
0.001951,978.77,904.16,0.04141973,0.18698384
0.001961,978.79,899.11,0.04159281,0.19784529
0.001971,980.31,937.68,0.03880899,0.12283272
0.001981,979.54,939.68,0.04053126,0.11949392
0.001991,980.43,868.16,0.03896387,0.26249344
0.002001,980.39,940.81,0.03923961,0.11843919
0.002011,981.29,890.72,0.03762581,0.21976208
0.002021,982.08,925.83,0.03621632,0.14989757
0.002031,981.91,943.42,0.03674079,0.11491398
0.002041,982.37,876.18,0.03598283,0.25271662
0.002051,982.57,939.37,0.03574893,0.12435213
0.002061,983.38,877.61,0.03425382,0.25224579
0.002071,983.62,929.02,0.03392298,0.14699958
0.002081,983.3,944.47,0.0347527,0.11555793
0.002091,983.86,871.34,0.03374874,0.26902806
0.002101,984.26,935.43,0.03306974,0.13566157
0.002111,984.45,906.17,0.03282605,0.19807513
0.002121,985.03,919.9,0.03175137,0.1698921
0.002131,985.71,922.29,0.03045199,0.16560001
0.002141,985.4,950.1,0.0312586,0.1068359
0.002151,985.21,951.34,0.03181329,0.10466766
0.002161,985.99,894.38,0.03027561,0.22824482
0.002171,986.28,918.11,0.02978612,0.17778319
0.002181,986.6,916.78,0.0292254,0.18150282
0.002191,986.49,947.21,0.02960041,0.11566289
