Tau,Plain Collisions,Slotted Collisions
0.00029900000000000076,451.61,347.01
0.0003000000000000008,450.57,315.07
0.0003010000000000008,450.0,342.84
0.00030200000000000084,452.44,353.01
0.00030300000000000086,454.8,353.32
0.0003040000000000009,455.4,330.64
0.0003050000000000009,454.91,361.79
0.00030600000000000093,457.04,365.8
0.00030700000000000096,457.98,311.67
0.000308000000000001,458.66,315.02
0.000309000000000001,460.25,366.49
0.00031000000000000103,460.93,343.07
0.00031100000000000105,462.14,317.66
0.0003120000000000011,464.43,327.7
0.0003130000000000011,464.61,372.9
0.00031400000000000113,465.44,348.15
0.00031500000000000115,465.53,322.8
0.0003160000000000012,468.78,334.32
0.0003170000000000012,467.93,369.07
0.0003180000000000012,470.5,359.15
0.00031900000000000125,471.53,331.76
0.0003200000000000013,470.77,348.44
0.0003210000000000013,472.17,367.38
0.0003220000000000013,473.05,357.18
0.00032300000000000135,473.62,330.57
0.00032400000000000137,475.5,352.14
0.0003250000000000014,475.96,373.58
0.0003260000000000014,478.45,368.46
0.00032700000000000144,477.26,342.32
0.00032800000000000147,480.87,364.17
0.0003290000000000015,482.34,377.49
0.0003300000000000015,485.05,375.5
0.00033100000000000154,484.66,352.22
0.00033200000000000156,483.76,383.76
0.0003330000000000016,486.57,389.13
0.0003340000000000016,488.23,389.87
0.00033500000000000164,489.07,336.17
0.00033600000000000166,489.24,391.15
0.0003370000000000017,488.84,367.95
0.0003380000000000017,492.05,337.92
0.00033900000000000173,491.48,345.32
0.00034000000000000176,493.13,394.99
0.0003410000000000018,492.82,374.16
0.0003420000000000018,497.98,342.22
0.00034300000000000183,498.13,356.74
0.00034400000000000186,495.72,396.85
0.0003450000000000019,497.67,379.47
0.0003460000000000019,500.38,351.89
0.00034700000000000193,500.39,372.06
0.00034800000000000195,501.08,402.45
0.000349000000000002,499.72,377.23
0.000350000000000002,503.08,350.01
0.000351000000000002,503.25,374.22
0.00035200000000000205,506.21,396.51
0.0003530000000000021,507.98,391.65
0.0003540000000000021,506.11,361.91
0.0003550000000000021,509.44,388.75
0.00035600000000000215,509.19,401.59
0.00035700000000000217,507.71,395.78
0.0003580000000000022,510.88,371.54
0.0003590000000000022,509.81,402.47
0.00036000000000000225,512.16,410.58
0.00036100000000000227,515.36,414.51
0.0003620000000000023,515.74,384.68
0.0003630000000000023,515.49,415.61
0.00036400000000000234,515.92,388.47
0.00036500000000000237,517.5,360.11
0.0003660000000000024,519.57,367.23
0.0003670000000000024,520.52,416.92
0.00036800000000000244,520.4,395.26
0.00036900000000000246,520.29,367.01
0.0003700000000000025,522.82,377.27
0.0003710000000000025,524.66,417.94
0.00037200000000000254,523.47,400.56
0.00037300000000000256,526.24,372.58
0.0003740000000000026,525.94,390.3
0.0003750000000000026,526.71,426.4
0.00037600000000000263,528.03,413.22
0.00037700000000000266,530.41,381.52
0.0003780000000000027,530.28,393.07
0.0003790000000000027,530.63,419.0
0.00038000000000000273,532.19,410.13
0.00038100000000000276,531.71,378.2
0.0003820000000000028,532.3,409.94
0.0003830000000000028,535.89,425.94
0.00038400000000000283,535.54,422.6
0.00038500000000000285,536.16,388.4
0.0003860000000000029,536.82,424.79
0.0003870000000000029,537.33,431.23
0.0003880000000000029,538.11,433.86
0.00038900000000000295,539.0,403.03
0.000390000000000003,541.59,438.36
0.000391000000000003,541.34,437.98
0.000392000000000003,542.04,377.14
0.00039300000000000305,543.8,385.25
0.00039400000000000307,545.42,442.16
0.0003950000000000031,545.01,417.14
0.0003960000000000031,547.0,386.61
0.00039700000000000314,548.42,396.45
0.00039800000000000317,549.5,446.8
0.0003990000000000032,550.15,419.39
0.0004000000000000032,550.51,390.73
0.00040100000000000324,551.51,409.1
0.00040200000000000327,551.83,448.14
0.0004030000000000033,552.77,434.94
0.0004040000000000033,555.38,402.37
0.00040500000000000334,555.6,424.4
0.00040600000000000336,556.84,438.54
0.0004070000000000034,555.64,427.45
0.0004080000000000034,558.02,398.52
0.00040900000000000344,556.88,425.92
0.00041000000000000346,557.51,447.75
0.0004110000000000035,560.32,442.05
0.0004120000000000035,562.66,408.89
0.00041300000000000353,562.86,440.98
0.00041400000000000356,560.87,452.99
0.0004150000000000036,561.59,453.74
0.0004160000000000036,565.52,425.14
0.00041700000000000363,566.02,460.76
0.00041800000000000366,566.32,463.83
0.0004190000000000037,566.24,461.48
0.0004200000000000037,568.56,416.34
0.00042100000000000373,568.12,463.84
0.00042200000000000375,569.11,435.27
0.0004230000000000038,569.36,401.72
0.0004240000000000038,571.69,415.48
0.0004250000000000038,573.93,466.27
0.00042600000000000385,573.95,443.0
0.0004270000000000039,573.66,410.84
0.0004280000000000039,573.54,422.35
0.0004290000000000039,576.15,468.07
0.00043000000000000395,576.35,453.94
0.00043100000000000397,578.36,417.75
0.000432000000000004,577.08,441.05
0.000433000000000004,578.22,471.05
0.00043400000000000404,580.29,460.37
0.00043500000000000407,583.07,416.52
0.0004360000000000041,582.04,443.42
0.0004370000000000041,582.54,464.49
0.00043800000000000414,582.89,462.33
0.00043900000000000417,582.25,428.76
0.0004400000000000042,586.44,462.27
0.0004410000000000042,584.68,476.11
0.00044200000000000424,585.38,473.07
0.00044300000000000426,586.18,442.17
0.0004440000000000043,587.17,480.33
0.0004450000000000043,588.29,480.26
0.00044600000000000434,588.95,481.71
0.00044700000000000436,590.08,449.33
0.0004480000000000044,592.42,482.0
0.0004490000000000044,592.21,456.6
0.00045000000000000443,595.12,420.41
0.00045100000000000446,593.91,432.05
0.0004520000000000045,592.65,485.93
0.0004530000000000045,595.41,463.9
0.00045400000000000453,596.18,428.43
0.00045500000000000455,595.71,444.3
0.0004560000000000046,598.96,488.66
0.0004570000000000046,598.95,469.64
0.00045800000000000463,597.97,435.54
0.00045900000000000465,598.93,460.5
0.0004600000000000047,601.17,493.84
0.0004610000000000047,603.41,479.05
0.0004620000000000047,601.77,444.69
0.00046300000000000475,603.45,461.18
0.0004640000000000048,605.61,485.94
0.0004650000000000048,604.2,478.59
0.0004660000000000048,605.53,445.58
0.00046700000000000485,606.28,478.66
0.00046800000000000487,606.66,494.2
0.0004690000000000049,607.19,493.86
0.0004700000000000049,607.67,455.25
0.00047100000000000494,607.98,498.79
0.00047200000000000497,610.01,503.5
0.000473000000000005,610.55,500.51
0.000474000000000005,612.91,469.78
0.00047500000000000504,611.38,503.85
0.00047600000000000506,613.79,505.39
0.0004770000000000051,613.41,437.55
0.0004780000000000051,613.92,448.37
0.00047900000000000514,615.97,504.95
0.00048000000000000516,616.61,480.2
0.0004810000000000052,617.69,446.0
0.0004820000000000052,618.88,461.22
0.00048300000000000524,618.59,510.67
0.00048400000000000526,619.95,489.35
0.0004850000000000053,619.19,454.16
0.0004860000000000053,621.14,475.44
0.00048700000000000533,622.22,514.01
0.00048800000000000536,622.99,497.83
0.0004890000000000054,621.81,461.23
0.0004900000000000054,622.78,486.31
0.0004910000000000054,625.77,516.52
0.0004920000000000055,624.05,494.72
0.0004930000000000055,625.21,460.54
0.0004940000000000055,627.37,496.78
0.0004950000000000055,628.95,510.95
0.0004960000000000056,627.87,509.6
0.0004970000000000056,630.3,473.1
0.0004980000000000056,631.19,513.91
0.0004990000000000056,631.93,519.52
0.0005000000000000056,631.36,522.27
0.0005010000000000057,631.72,488.28
0.0005020000000000057,632.25,525.44
0.0005030000000000057,634.81,524.94
0.0005040000000000057,635.43,524.68
0.0005050000000000058,635.99,493.38
0.0005060000000000058,636.8,525.77
0.0005070000000000058,636.59,497.68
0.0005080000000000058,636.49,461.12
0.0005090000000000059,639.1,476.42
0.0005100000000000059,637.52,527.85
0.0005110000000000059,639.34,506.18
0.0005120000000000059,640.34,468.97
0.000513000000000006,641.84,490.68
0.000514000000000006,643.0,531.1
0.000515000000000006,641.91,514.74
0.000516000000000006,642.07,476.24
0.0005170000000000061,643.52,504.86
0.0005180000000000061,645.17,534.72
0.0005190000000000061,645.89,523.74
0.0005200000000000061,647.85,476.59
0.0005210000000000062,646.15,509.14
0.0005220000000000062,647.49,530.56
0.0005230000000000062,647.98,524.86
0.0005240000000000062,651.51,490.13
0.0005250000000000063,648.94,529.39
0.0005260000000000063,650.24,537.14
0.0005270000000000063,651.31,539.18
0.0005280000000000063,651.34,502.69
0.0005290000000000064,650.68,542.45
0.0005300000000000064,652.69,542.6
0.0005310000000000064,653.43,544.93
0.0005320000000000064,654.26,507.86
0.0005330000000000065,654.88,544.39
0.0005340000000000065,656.45,515.74
0.0005350000000000065,657.13,476.78
0.0005360000000000065,655.94,490.76
0.0005370000000000065,657.8,548.16
0.0005380000000000066,659.27,522.15
0.0005390000000000066,657.04,484.78
0.0005400000000000066,659.93,506.31
0.0005410000000000066,660.06,549.79
0.0005420000000000067,661.36,530.5
0.0005430000000000067,661.98,493.7
0.0005440000000000067,664.06,519.38
0.0005450000000000067,662.35,551.54
0.0005460000000000068,664.79,540.87
0.0005470000000000068,664.56,499.76
0.0005480000000000068,664.84,529.25
0.0005490000000000068,665.35,546.88
0.0005500000000000069,666.68,540.87
0.0005510000000000069,668.1,502.55
0.0005520000000000069,667.91,545.27
0.0005530000000000069,669.25,555.35
0.000554000000000007,668.93,557.16
0.000555000000000007,669.27,518.55
0.000556000000000007,670.8,558.59
0.000557000000000007,670.94,558.94
0.0005580000000000071,671.25,560.74
0.0005590000000000071,671.63,527.34
0.0005600000000000071,671.68,561.97
0.0005610000000000071,674.47,563.74
0.0005620000000000072,674.36,563.49
0.0005630000000000072,673.75,504.64
0.0005640000000000072,675.99,565.49
0.0005650000000000072,674.92,538.49
0.0005660000000000073,676.41,500.57
0.0005670000000000073,677.62,520.83
0.0005680000000000073,677.92,566.81
0.0005690000000000073,679.64,547.25
0.0005700000000000073,679.26,507.33
0.0005710000000000074,680.71,534.04
0.0005720000000000074,680.53,569.55
0.0005730000000000074,682.83,557.0
0.0005740000000000074,682.67,516.6
0.0005750000000000075,684.48,545.58
0.0005760000000000075,683.3,571.4
0.0005770000000000075,685.97,554.34
0.0005780000000000075,685.64,518.7
0.0005790000000000076,684.03,556.09
0.0005800000000000076,683.86,570.11
0.0005810000000000076,687.24,570.16
0.0005820000000000076,687.43,531.17
0.0005830000000000077,688.2,575.84
0.0005840000000000077,689.13,578.01
0.0005850000000000077,688.92,575.48
0.0005860000000000077,691.07,540.37
0.0005870000000000078,689.97,578.89
0.0005880000000000078,690.78,579.24
0.0005890000000000078,690.46,578.36
0.0005900000000000078,691.92,550.2
0.0005910000000000079,691.56,578.94
0.0005920000000000079,693.66,552.59
0.0005930000000000079,694.2,515.28
0.0005940000000000079,694.5,532.36
0.000595000000000008,697.41,583.95
0.000596000000000008,695.67,562.62
0.000597000000000008,694.54,520.87
0.000598000000000008,698.12,548.03
0.0005990000000000081,697.66,586.64
0.0006000000000000081,698.04,571.28
0.0006010000000000081,698.64,531.86
0.0006020000000000081,699.27,563.34
0.0006030000000000082,701.22,588.48
0.0006040000000000082,701.85,579.75
0.0006050000000000082,700.14,529.44
0.0006060000000000082,701.87,567.59
0.0006070000000000082,702.67,586.7
0.0006080000000000083,704.39,584.94
0.0006090000000000083,704.71,545.2
0.0006100000000000083,702.68,590.76
0.0006110000000000083,704.5,592.81
0.0006120000000000084,705.01,592.23
0.0006130000000000084,706.39,552.88
0.0006140000000000084,708.72,594.56
0.0006150000000000084,707.25,595.83
0.0006160000000000085,708.09,596.24
0.0006170000000000085,708.97,564.56
0.0006180000000000085,708.46,596.29
0.0006190000000000085,711.03,596.6
0.0006200000000000086,709.7,527.44
0.0006210000000000086,713.01,544.13
0.0006220000000000086,711.0,599.45
0.0006230000000000086,710.85,578.02
0.0006240000000000087,713.02,535.45
0.0006250000000000087,715.38,558.4
0.0006260000000000087,714.5,601.66
0.0006270000000000087,712.92,585.34
0.0006280000000000088,713.93,543.78
0.0006290000000000088,714.19,575.59
0.0006300000000000088,716.04,603.24
0.0006310000000000088,717.72,592.53
0.0006320000000000089,717.12,552.84
0.0006330000000000089,716.39,587.89
0.0006340000000000089,717.91,597.11
0.0006350000000000089,718.96,600.25
0.000636000000000009,720.4,557.2
0.000637000000000009,719.16,600.97
0.000638000000000009,720.15,608.56
0.000639000000000009,722.21,609.38
0.000640000000000009,722.51,568.26
0.0006410000000000091,721.38,610.52
0.0006420000000000091,721.6,612.46
0.0006430000000000091,722.33,611.46
0.0006440000000000091,724.48,577.16
0.0006450000000000092,723.79,612.65
0.0006460000000000092,725.27,613.08
0.0006470000000000092,725.47,615.12
0.0006480000000000092,725.06,559.46
0.0006490000000000093,725.23,614.55
0.0006500000000000093,726.41,589.63
0.0006510000000000093,727.86,546.05
0.0006520000000000093,728.77,571.59
0.0006530000000000094,729.44,617.0
0.0006540000000000094,728.3,597.53
0.0006550000000000094,730.06,556.18
0.0006560000000000094,731.06,587.05
0.0006570000000000095,729.38,619.59
0.0006580000000000095,731.19,606.34
0.0006590000000000095,732.61,566.45
0.0006600000000000095,732.32,600.64
0.0006610000000000096,732.31,622.75
0.0006620000000000096,731.8,610.19
0.0006630000000000096,733.61,568.45
0.0006640000000000096,734.95,612.49
0.0006650000000000097,734.9,622.54
0.0006660000000000097,736.31,625.91
0.0006670000000000097,737.0,583.87
0.0006680000000000097,736.74,626.21
0.0006690000000000098,736.94,628.36
0.0006700000000000098,737.38,626.18
0.0006710000000000098,737.38,590.88
0.0006720000000000098,738.94,627.13
0.0006730000000000099,738.59,627.96
0.0006740000000000099,739.77,629.72
0.0006750000000000099,741.22,598.78
0.0006760000000000099,740.79,630.1
0.00067700000000001,741.54,603.17
0.00067800000000001,741.41,560.5
0.00067900000000001,741.98,583.76
0.00068000000000001,743.44,630.22
0.00068100000000001,743.32,611.75
0.0006820000000000101,743.97,567.47
0.0006830000000000101,745.35,597.93
0.0006840000000000101,743.98,634.67
0.0006850000000000101,746.53,619.67
0.0006860000000000102,746.22,579.06
0.0006870000000000102,747.09,615.37
0.0006880000000000102,746.35,636.61
0.0006890000000000102,748.09,629.7
0.0006900000000000103,748.54,585.48
0.0006910000000000103,748.43,622.93
0.0006920000000000103,750.13,636.97
0.0006930000000000103,748.75,635.06
0.0006940000000000104,750.72,595.37
0.0006950000000000104,749.51,640.52
0.0006960000000000104,751.6,641.57
0.0006970000000000104,752.61,640.02
0.0006980000000000105,753.52,602.26
0.0006990000000000105,752.58,642.78
0.0007000000000000105,752.55,641.93
0.0007010000000000105,754.53,642.77
0.0007020000000000106,754.28,609.92
0.0007030000000000106,754.72,644.1
0.0007040000000000106,754.94,644.66
0.0007050000000000106,754.81,572.89
0.0007060000000000107,757.0,596.85
0.0007070000000000107,755.99,646.61
0.0007080000000000107,754.9,624.6
0.0007090000000000107,755.97,580.51
0.0007100000000000108,756.93,609.84
0.0007110000000000108,757.72,649.19
0.0007120000000000108,759.26,632.21
0.0007130000000000108,758.54,588.0
0.0007140000000000108,759.87,626.07
0.0007150000000000109,760.65,649.33
0.0007160000000000109,761.9,642.58
0.0007170000000000109,762.11,598.79
0.000718000000000011,762.54,640.18
0.000719000000000011,761.93,646.4
0.000720000000000011,759.86,646.81
0.000721000000000011,762.56,606.06
0.000722000000000011,762.47,653.53
0.0007230000000000111,763.33,654.84
0.0007240000000000111,763.29,654.3
0.0007250000000000111,764.18,615.1
0.0007260000000000111,766.25,656.49
0.0007270000000000112,766.88,654.0
0.0007280000000000112,766.6,656.46
0.0007290000000000112,767.56,621.93
0.0007300000000000112,765.99,658.76
0.0007310000000000113,769.56,657.84
0.0007320000000000113,767.47,658.57
0.0007330000000000113,769.21,604.15
0.0007340000000000113,768.95,659.11
0.0007350000000000114,769.81,637.28
0.0007360000000000114,768.74,592.77
0.0007370000000000114,770.74,620.39
0.0007380000000000114,770.92,660.71
0.0007390000000000115,771.04,644.0
0.0007400000000000115,773.47,600.9
0.0007410000000000115,772.6,637.32
0.0007420000000000115,772.92,663.25
0.0007430000000000116,772.52,652.41
0.0007440000000000116,773.76,607.59
0.0007450000000000116,774.36,650.44
0.0007460000000000116,775.2,665.73
0.0007470000000000117,775.3,662.3
0.0007480000000000117,775.76,617.48
0.0007490000000000117,775.02,665.04
0.0007500000000000117,775.38,664.26
0.0007510000000000117,778.35,668.16
0.0007520000000000118,778.05,626.45
0.0007530000000000118,776.1,668.93
0.0007540000000000118,778.26,668.3
0.0007550000000000118,777.66,670.42
0.0007560000000000119,778.43,635.25
0.0007570000000000119,779.72,669.73
0.0007580000000000119,780.0,670.07
0.0007590000000000119,779.36,669.38
0.000760000000000012,779.62,643.24
0.000761000000000012,782.56,671.86
0.000762000000000012,780.64,646.86
0.000763000000000012,781.96,603.36
0.0007640000000000121,782.67,630.68
0.0007650000000000121,783.23,675.57
0.0007660000000000121,783.52,655.05
0.0007670000000000121,784.0,611.62
0.0007680000000000122,784.54,645.93
0.0007690000000000122,784.87,676.13
0.0007700000000000122,785.36,664.43
0.0007710000000000122,784.8,619.73
